COUNTY NAME,NO. OF SHARED IDs,COUNTY CODE
DIASPORA,1,48
LAMU,250,5
ISIOLO,284,11
TANA RIVER,435,4
SAMBURU,471,25
KEIYO MARAKWET,578,28
TAITA TAVETA,589,6
MANDERA,755,9
BARINGO,767,30
WEST POKOT,783,24
MARSABIT,794,10
THARAKA NITHI,805,13
WAJIR,816,8
LAIKIPIA,830,31
GARISSA,869,7
EMBU,905,14
KWALE,926,2
KIRINYAGA,"1,022",20
NYAMIRA,"1,028",46
BOMET,"1,158",36
VIHIGA,"1,162",38
NANDI,"1,179",29
TURKANA,"1,205",23
NYANDARUA,"1,214",18
KERICHO,"1,273",35
TRANS NZOIA,"1,340",26
NYERI,"1,435",19
BUSIA,"1,439",40
UASIN GISHU,"1,451",27
NAROK,"1,603",33
KAJIADO,"1,624",34
MAKUENI,"1,726",17
MURANG'A,"1,881",21
KILIFI,"2,007",3
MOMBASA,"2,012",1
BUNGOMA,"2,153",39
KITUI,"2,175",15
MIGORI,"2,205",44
KISII,"2,293",45
MACHAKOS,"2,435",16
HOMA BAY,"2,649",43
NAKURU,"3,261",32
MERU,"3,289",12
SIAYA,"3,307",41
KAKAMEGA,"3,481",37
KIAMBU,"3,500",22
KISUMU,"3,946",42
NAIROBI,"7,441",47
